time,Pjmax_BENSEKRANE,Pjmax_LALA SETTI,Pjmax_M LILIA HENNAIA,Pjmax_PIERRE DU CHAT,Pjmax_Sabra,Pjmax_TLEMCEN MN
1950-12-31,29.09754384309053,29.09754384309053,29.09754384309053,38.22046760469675,38.22046760469675,29.09754384309053
1951-12-31,32.002270594239235,32.002270594239235,32.002270594239235,26.144311018288136,26.144311018288136,32.002270594239235
1952-12-31,20.53475081920624,20.53475081920624,20.53475081920624,32.98058956861496,32.98058956861496,20.53475081920624
1953-12-31,23.846501111984253,23.846501111984253,23.846501111984253,37.510000728070736,37.510000728070736,23.846501111984253
1954-12-31,22.198783233761787,22.198783233761787,22.198783233761787,34.79415848851204,34.79415848851204,22.198783233761787
1955-12-31,29.321466386318207,29.321466386318207,29.321466386318207,31.81285299360752,31.81285299360752,29.321466386318207
1956-12-31,28.435995429754257,28.435995429754257,28.435995429754257,37.02195268124342,37.02195268124342,28.435995429754257
1957-12-31,20.76610140502453,20.76610140502453,20.76610140502453,31.106268614530563,31.106268614530563,20.76610140502453
1958-12-31,42.463343404233456,42.463343404233456,42.463343404233456,49.09534826874733,49.09534826874733,42.463343404233456
1959-12-31,31.10454361885786,31.10454361885786,31.10454361885786,38.34219295531511,38.34219295531511,31.10454361885786
1960-12-31,18.96410956978798,18.96410956978798,18.96410956978798,29.97694462537765,29.97694462537765,18.96410956978798
1961-12-31,37.72907517850399,37.72907517850399,37.72907517850399,28.7704735994339,28.7704735994339,37.72907517850399
1962-12-31,20.280572958290577,20.280572958290577,20.280572958290577,34.16683338582516,34.16683338582516,20.280572958290577
1963-12-31,36.267692036926746,36.267692036926746,36.267692036926746,32.73805920034647,32.73805920034647,36.267692036926746
1964-12-31,25.458532199263573,25.458532199263573,25.458532199263573,47.39531725645065,47.39531725645065,25.458532199263573
1965-12-31,37.81212642788887,37.81212642788887,37.81212642788887,30.974107794463634,30.974107794463634,37.81212642788887
1966-12-31,19.55011524260044,19.55011524260044,19.55011524260044,28.046518564224243,28.046518564224243,19.55011524260044
1967-12-31,46.97364382445812,46.97364382445812,46.97364382445812,36.56152971088886,36.56152971088886,46.97364382445812
1968-12-31,23.28385580331087,23.28385580331087,23.28385580331087,47.7476991713047,47.7476991713047,23.28385580331087
1969-12-31,51.75924450159073,51.75924450159073,51.75924450159073,35.628845170140266,35.628845170140266,51.75924450159073
1970-12-31,31.979820504784584,31.979820504784584,31.979820504784584,46.95980362594128,46.95980362594128,31.979820504784584
1971-12-31,23.947380669415,23.947380669415,23.947380669415,39.570299349725246,39.570299349725246,23.947380669415
1972-12-31,28.364963829517365,28.364963829517365,28.364963829517365,33.140938729047775,33.140938729047775,28.364963829517365
1973-12-31,18.92433408647776,18.92433408647776,18.92433408647776,28.506639786064625,28.506639786064625,18.92433408647776
1974-12-31,45.04829719662666,45.04829719662666,45.04829719662666,37.220246717333794,37.220246717333794,45.04829719662666
1975-12-31,41.11807309091091,41.11807309091091,41.11807309091091,30.10959830135107,30.10959830135107,41.11807309091091
1976-12-31,24.11565575748682,24.11565575748682,24.11565575748682,34.82310622930527,34.82310622930527,24.11565575748682
1977-12-31,22.466132417321205,22.466132417321205,22.466132417321205,38.21345195174217,38.21345195174217,22.466132417321205
1978-12-31,60.35262979567051,60.35262979567051,60.35262979567051,59.477730095386505,59.477730095386505,60.35262979567051
1979-12-31,22.013207897543907,22.013207897543907,22.013207897543907,35.27406435459852,35.27406435459852,22.013207897543907
1980-12-31,30.82858957350254,30.82858957350254,30.82858957350254,71.89025580883026,71.89025580883026,30.82858957350254
1981-12-31,37.84935213625431,37.84935213625431,37.84935213625431,34.303294122219086,34.303294122219086,37.84935213625431
1982-12-31,25.55064596235752,25.55064596235752,25.55064596235752,34.9236186593771,34.9236186593771,25.55064596235752
1983-12-31,32.34043512493372,32.34043512493372,32.34043512493372,31.8128177896142,31.8128177896142,32.34043512493372
1984-12-31,50.88973604142666,50.88973604142666,50.88973604142666,56.92166369408369,56.92166369408369,50.88973604142666
1985-12-31,30.253004282712936,30.253004282712936,30.253004282712936,44.38959527760744,44.38959527760744,30.253004282712936
1986-12-31,36.69958971440792,36.69958971440792,36.69958971440792,38.833228312432766,38.833228312432766,36.69958971440792
1987-12-31,20.171888172626492,20.171888172626492,20.171888172626492,27.23048496991396,27.23048496991396,20.171888172626492
1988-12-31,35.1905956864357,35.1905956864357,35.1905956864357,39.66921754181385,39.66921754181385,35.1905956864357
1989-12-31,19.861861690878868,19.861861690878868,19.861861690878868,30.8319641277194,30.8319641277194,19.861861690878868
1990-12-31,32.48078841716051,32.48078841716051,32.48078841716051,39.07184600830078,39.07184600830078,32.48078841716051
1991-12-31,38.9545613899827,38.9545613899827,38.9545613899827,36.28925196826458,36.28925196826458,38.9545613899827
1992-12-31,36.08265481889248,36.08265481889248,36.08265481889248,44.0826416015625,44.0826416015625,36.08265481889248
1993-12-31,34.15794186294079,34.15794186294079,34.15794186294079,47.104522213339806,47.104522213339806,34.15794186294079
1994-12-31,16.67234469205141,16.67234469205141,16.67234469205141,34.06462110579014,34.06462110579014,16.67234469205141
1995-12-31,28.79475429654121,28.79475429654121,28.79475429654121,33.36888458579779,33.36888458579779,28.79475429654121
1996-12-31,38.71203102171421,38.71203102171421,38.71203102171421,46.76393363624811,46.76393363624811,38.71203102171421
1997-12-31,55.8678925037384,55.8678925037384,55.8678925037384,87.22126297652721,87.22126297652721,55.8678925037384
1998-12-31,27.676489390432835,27.676489390432835,27.676489390432835,26.801318116486076,26.801318116486076,27.676489390432835
