time,Pjmax_BENSEKRANE,Pjmax_LALA SETTI,Pjmax_M LILIA HENNAIA,Pjmax_PIERRE DU CHAT,Pjmax_Sabra,Pjmax_TLEMCEN MN
1950-12-31,27.577807568013668,25.725986994802952,25.725986994802952,27.577807568013668,25.725986994802952,25.725986994802952
1951-12-31,18.65864577703178,21.339456271380183,21.339456271380183,18.65864577703178,21.339456271380183,21.339456271380183
1952-12-31,25.37001930177212,13.32811745814979,13.32811745814979,25.37001930177212,13.32811745814979,13.32811745814979
1953-12-31,20.559770800173283,23.91800796613097,23.91800796613097,20.559770800173283,23.91800796613097,23.91800796613097
1954-12-31,16.156245348975062,9.805290307849646,9.805290307849646,16.156245348975062,9.805290307849646,9.805290307849646
1955-12-31,29.127369169145823,18.97121449001133,18.97121449001133,29.127369169145823,18.97121449001133,18.97121449001133
1956-12-31,20.264307456091046,25.337895657867197,25.337895657867197,20.264307456091046,25.337895657867197,25.337895657867197
1957-12-31,30.81620531156659,21.400776598602533,21.400776598602533,30.81620531156659,21.400776598602533,21.400776598602533
1958-12-31,15.20746503956616,38.6420052498579,38.6420052498579,15.20746503956616,38.6420052498579,38.6420052498579
1959-12-31,16.12684498541057,13.022878719493749,13.022878719493749,16.12684498541057,13.022878719493749,13.022878719493749
1960-12-31,22.36151369288564,18.03984884172678,18.03984884172678,22.36151369288564,18.03984884172678,18.03984884172678
1961-12-31,11.4822740200907,33.517591282725334,33.517591282725334,11.4822740200907,33.517591282725334,33.517591282725334
1962-12-31,32.372269593179226,26.33057534694672,26.33057534694672,32.372269593179226,26.33057534694672,26.33057534694672
1963-12-31,33.05871980264783,27.488142997026443,27.488142997026443,33.05871980264783,27.488142997026443,27.488142997026443
1964-12-31,21.041959896683693,65.75859524309635,65.75859524309635,21.041959896683693,65.75859524309635,65.75859524309635
1965-12-31,24.64187247678637,15.769354719668629,15.769354719668629,24.64187247678637,15.769354719668629,15.769354719668629
1966-12-31,26.844719611108303,18.853791570290923,18.853791570290923,26.844719611108303,18.853791570290923,18.853791570290923
1967-12-31,27.77622733265161,21.684493124485016,21.684493124485016,27.77622733265161,21.684493124485016,21.684493124485016
1968-12-31,26.84597186744213,24.944518692791465,24.944518692791465,26.84597186744213,24.944518692791465,24.944518692791465
1969-12-31,30.363373830914497,17.169861355796456,17.169861355796456,30.363373830914497,17.169861355796456,17.169861355796456
1970-12-31,11.94300251081586,9.722266090102494,9.722266090102494,11.94300251081586,9.722266090102494,9.722266090102494
1971-12-31,40.01938663423061,21.60341329872608,21.60341329872608,40.01938663423061,21.60341329872608,21.60341329872608
1972-12-31,26.754039153456688,34.25897732377052,34.25897732377052,26.754039153456688,34.25897732377052,34.25897732377052
1973-12-31,51.25516355037689,15.42886421084404,15.42886421084404,51.25516355037689,15.42886421084404,15.42886421084404
1974-12-31,16.560951713472605,13.476644363254309,13.476644363254309,16.560951713472605,13.476644363254309,13.476644363254309
1975-12-31,25.125952530652285,16.62926380522549,16.62926380522549,25.125952530652285,16.62926380522549,16.62926380522549
1976-12-31,32.90856722742319,30.61703871935606,30.61703871935606,32.90856722742319,30.61703871935606,30.61703871935606
1977-12-31,40.98647553473711,41.69885599985719,41.69885599985719,40.98647553473711,41.69885599985719,41.69885599985719
1978-12-31,30.288253538310528,24.762991815805435,24.762991815805435,30.288253538310528,24.762991815805435,24.762991815805435
1979-12-31,39.45425441488624,28.9452413097024,28.9452413097024,39.45425441488624,28.9452413097024,28.9452413097024
1980-12-31,13.381533231586218,12.192068248987198,12.192068248987198,13.381533231586218,12.192068248987198,12.192068248987198
1981-12-31,18.88115387409925,26.961003430187706,26.961003430187706,18.88115387409925,26.961003430187706,26.961003430187706
1982-12-31,27.24742311984301,16.300835693255067,16.300835693255067,27.24742311984301,16.300835693255067,16.300835693255067
1983-12-31,21.53444867581129,17.195125250145793,17.195125250145793,21.53444867581129,17.195125250145793,17.195125250145793
1984-12-31,14.155245339497924,15.223495429381728,15.223495429381728,14.155245339497924,15.223495429381728,15.223495429381728
1985-12-31,16.336071118712425,23.87818219140172,23.87818219140172,16.336071118712425,23.87818219140172,23.87818219140172
1986-12-31,52.99260634928942,32.45052304118872,32.45052304118872,52.99260634928942,32.45052304118872,32.45052304118872
1987-12-31,65.26272185146809,23.135526292026043,23.135526292026043,65.26272185146809,23.135526292026043,23.135526292026043
1988-12-31,19.848899077624083,14.80933427810669,14.80933427810669,19.848899077624083,14.80933427810669,14.80933427810669
1989-12-31,27.48203761875629,20.78157104551792,20.78157104551792,27.48203761875629,20.78157104551792,20.78157104551792
1990-12-31,22.636912018060684,18.392420606687665,18.392420606687665,22.636912018060684,18.392420606687665,18.392420606687665
1991-12-31,18.489861488342285,12.35709199681878,12.35709199681878,18.489861488342285,12.35709199681878,12.35709199681878
1992-12-31,19.72519224509597,22.303505055606365,22.303505055606365,19.72519224509597,22.303505055606365,22.303505055606365
1993-12-31,23.188412748277187,21.30960328504443,21.30960328504443,23.188412748277187,21.30960328504443,21.30960328504443
1994-12-31,9.636233188211918,18.70535770431161,18.70535770431161,9.636233188211918,18.70535770431161,18.70535770431161
1995-12-31,21.97395544499159,57.99201093614101,57.99201093614101,21.97395544499159,57.99201093614101,57.99201093614101
1996-12-31,16.86007878743112,20.305653288960457,20.305653288960457,16.86007878743112,20.305653288960457,20.305653288960457
1997-12-31,31.055159959942102,26.44544346258044,26.44544346258044,31.055159959942102,26.44544346258044,26.44544346258044
1998-12-31,16.251558903604746,17.316609201952815,17.316609201952815,16.251558903604746,17.316609201952815,17.316609201952815
