time,Pjmax_BENSEKRANE,Pjmax_LALA SETTI,Pjmax_M LILIA HENNAIA,Pjmax_PIERRE DU CHAT,Pjmax_Sabra,Pjmax_TLEMCEN MN
1950-12-31,18.126650573685765,33.120364509522915,33.120364509522915,18.126650573685765,33.120364509522915,33.120364509522915
1951-12-31,27.16513630002737,42.46417824178934,42.46417824178934,27.16513630002737,42.46417824178934,42.46417824178934
1952-12-31,26.32344150915742,31.41077309846878,31.41077309846878,26.32344150915742,31.41077309846878,31.41077309846878
1953-12-31,14.621992455795407,38.62421466037631,38.62421466037631,14.621992455795407,38.62421466037631,38.62421466037631
1954-12-31,27.049086336046457,25.407360680401325,25.407360680401325,27.049086336046457,25.407360680401325,25.407360680401325
1955-12-31,19.41336658783257,42.05127311870456,42.05127311870456,19.41336658783257,42.05127311870456,42.05127311870456
1956-12-31,20.362525340169668,25.11425726115704,25.11425726115704,20.362525340169668,25.11425726115704,25.11425726115704
1957-12-31,18.52654656395316,32.73420184850693,32.73420184850693,18.52654656395316,32.73420184850693,32.73420184850693
1958-12-31,17.355280788615346,30.30130416154861,30.30130416154861,17.355280788615346,30.30130416154861,30.30130416154861
1959-12-31,24.500166345387697,33.33836272358894,33.33836272358894,24.500166345387697,33.33836272358894,33.33836272358894
1960-12-31,19.762136321514845,26.81195978075266,26.81195978075266,19.762136321514845,26.81195978075266,26.81195978075266
1961-12-31,23.796106595546007,36.2403410486877,36.2403410486877,23.796106595546007,36.2403410486877,36.2403410486877
1962-12-31,31.30989857017994,42.48891156166792,42.48891156166792,31.30989857017994,42.48891156166792,42.48891156166792
1963-12-31,38.06464970111847,41.04234175756574,41.04234175756574,38.06464970111847,41.04234175756574,41.04234175756574
1964-12-31,14.32009432464838,28.385902661830187,28.385902661830187,14.32009432464838,28.385902661830187,28.385902661830187
1965-12-31,26.88104258850217,48.82113933563232,48.82113933563232,26.88104258850217,48.82113933563232,48.82113933563232
1966-12-31,11.844702903181314,32.132867351174355,32.132867351174355,11.844702903181314,32.132867351174355,32.132867351174355
1967-12-31,25.18459735438228,37.56101382896304,37.56101382896304,25.18459735438228,37.56101382896304,37.56101382896304
1968-12-31,19.22018090263009,39.52938728034496,39.52938728034496,19.22018090263009,39.52938728034496,39.52938728034496
1969-12-31,35.551675502210855,42.25980900228024,42.25980900228024,35.551675502210855,42.25980900228024,42.25980900228024
1970-12-31,16.528923623263836,30.32564772292972,30.32564772292972,16.528923623263836,30.32564772292972,30.32564772292972
1971-12-31,18.035203171893954,39.84552165493369,39.84552165493369,18.035203171893954,39.84552165493369,39.84552165493369
1972-12-31,9.18436856009066,20.95676497556269,20.95676497556269,9.18436856009066,20.95676497556269,20.95676497556269
1973-12-31,17.147260392084718,43.248181231319904,43.248181231319904,17.147260392084718,43.248181231319904,43.248181231319904
1974-12-31,20.943161146715283,19.281009631231427,19.281009631231427,20.943161146715283,19.281009631231427,19.281009631231427
1975-12-31,17.07402728497982,36.75040667876601,36.75040667876601,17.07402728497982,36.75040667876601,36.75040667876601
1976-12-31,26.828420162200928,34.24640195444226,34.24640195444226,26.828420162200928,34.24640195444226,34.24640195444226
1977-12-31,20.864451304078106,41.46639900282025,41.46639900282025,20.864451304078106,41.46639900282025,41.46639900282025
1978-12-31,41.65093330666423,36.344927083700895,36.344927083700895,41.65093330666423,36.344927083700895,36.344927083700895
1979-12-31,28.162279352545735,19.207235891371965,19.207235891371965,28.162279352545735,19.207235891371965,19.207235891371965
1980-12-31,19.95654283091426,37.37139506265521,37.37139506265521,19.95654283091426,37.37139506265521,37.37139506265521
1981-12-31,49.337632209062576,44.55214720219374,44.55214720219374,49.337632209062576,44.55214720219374,44.55214720219374
1982-12-31,26.94016769528389,26.07136080041528,26.07136080041528,26.94016769528389,26.07136080041528,26.07136080041528
1983-12-31,17.452583368867636,44.14656199514866,44.14656199514866,17.452583368867636,44.14656199514866,44.14656199514866
1984-12-31,34.54968184232712,44.2840838804841,44.2840838804841,34.54968184232712,44.2840838804841,44.2840838804841
1985-12-31,12.505442881956697,38.75885987654328,38.75885987654328,12.505442881956697,38.75885987654328,38.75885987654328
1986-12-31,27.20051128417253,36.048572324216366,36.048572324216366,27.20051128417253,36.048572324216366,36.048572324216366
1987-12-31,28.27973747625947,24.89784574136138,24.89784574136138,28.27973747625947,24.89784574136138,24.89784574136138
1988-12-31,31.748985406011343,22.884916607290503,22.884916607290503,31.748985406011343,22.884916607290503,22.884916607290503
1989-12-31,30.41546568274498,29.231120366603136,29.231120366603136,30.41546568274498,29.231120366603136,29.231120366603136
1990-12-31,19.15109306573868,40.10982820764184,40.10982820764184,19.15109306573868,40.10982820764184,40.10982820764184
1991-12-31,32.777563109993935,51.5359103679657,51.5359103679657,32.777563109993935,51.5359103679657,51.5359103679657
1992-12-31,19.09823678433895,32.18232644721866,32.18232644721866,19.09823678433895,32.18232644721866,32.18232644721866
1993-12-31,36.59927090629935,38.03776893764734,38.03776893764734,36.59927090629935,38.03776893764734,38.03776893764734
1994-12-31,22.762537468224764,40.566429030150175,40.566429030150175,22.762537468224764,40.566429030150175,40.566429030150175
1995-12-31,65.71212094277143,71.83997444808483,71.83997444808483,65.71212094277143,71.83997444808483,71.83997444808483
1996-12-31,19.862587144598365,21.223449055105448,21.223449055105448,19.862587144598365,21.223449055105448,21.223449055105448
1997-12-31,45.29900997877121,36.12014455720782,36.12014455720782,45.29900997877121,36.12014455720782,36.12014455720782
1998-12-31,17.391891684383154,33.0216902308166,33.0216902308166,17.391891684383154,33.0216902308166,33.0216902308166
