year,Pjmax_obs
1973,
1974,66.0
1975,35.6
1976,27.8
1977,56.0
1978,
1979,46.0
1980,96.6
1981,
1982,21.1
1983,
1984,34.0
1985,38.4
1986,35.8
1987,19.9
1988,129.0
1989,38.5
1990,35.5
1991,59.5
1992,69.0
1993,67.0
1994,72.3
1995,45.0
1996,
1997,48.7
1998,43.2
1999,28.5
2000,26.7
2001,82.0
2002,43.0
2003,54.1
2004,
2005,18.0
2006,40.2
2007,30.9
2008,31.0
2009,31.1
2010,69.6
2011,26.7
2012,82.0
2013,64.0
2014,41.0
2015,
